Logs start:
Epoch: [1/60], PSNR in training: 39.89, Pmask: 0.504569
Epoch: [1/60], PSNR in validation: 40.47, loss in validation: 0.00614
Epoch: [2/60], PSNR in training: 40.29, Pmask: 0.504569
Epoch: [2/60], PSNR in validation: 40.47, loss in validation: 0.00613
Epoch: [3/60], PSNR in training: 40.29, Pmask: 0.504569
Epoch: [3/60], PSNR in validation: 40.47, loss in validation: 0.00613
Epoch: [4/60], PSNR in training: 40.29, Pmask: 0.504569
Epoch: [4/60], PSNR in validation: 40.47, loss in validation: 0.00613
Epoch: [5/60], PSNR in training: 40.29, Pmask: 0.504569
Epoch: [5/60], PSNR in validation: 40.48, loss in validation: 0.00612
Epoch: [6/60], PSNR in training: 40.29, Pmask: 0.504569
Epoch: [6/60], PSNR in validation: 40.48, loss in validation: 0.00612
Epoch: [7/60], PSNR in training: 40.30, Pmask: 0.504569
Epoch: [7/60], PSNR in validation: 40.48, loss in validation: 0.00612
Epoch: [8/60], PSNR in training: 40.30, Pmask: 0.504569
Epoch: [8/60], PSNR in validation: 40.48, loss in validation: 0.00612
Epoch: [9/60], PSNR in training: 40.30, Pmask: 0.504569
Epoch: [9/60], PSNR in validation: 40.48, loss in validation: 0.00612
Epoch: [10/60], PSNR in training: 40.30, Pmask: 0.504569
Epoch: [10/60], PSNR in validation: 40.48, loss in validation: 0.00612
Epoch: [11/60], PSNR in training: 40.31, Pmask: 0.504569
Epoch: [11/60], PSNR in validation: 40.49, loss in validation: 0.00612
Epoch: [12/60], PSNR in training: 40.31, Pmask: 0.504569
Epoch: [12/60], PSNR in validation: 40.49, loss in validation: 0.00612
Epoch: [13/60], PSNR in training: 40.31, Pmask: 0.504569
Epoch: [13/60], PSNR in validation: 40.49, loss in validation: 0.00612
Epoch: [14/60], PSNR in training: 40.31, Pmask: 0.504569
Epoch: [14/60], PSNR in validation: 40.49, loss in validation: 0.00612
Epoch: [15/60], PSNR in training: 40.32, Pmask: 0.504569
Epoch: [15/60], PSNR in validation: 40.49, loss in validation: 0.00611
Epoch: [16/60], PSNR in training: 40.32, Pmask: 0.504569
Epoch: [16/60], PSNR in validation: 40.49, loss in validation: 0.00611
Epoch: [17/60], PSNR in training: 40.32, Pmask: 0.504569
Epoch: [17/60], PSNR in validation: 40.49, loss in validation: 0.00611
Epoch: [18/60], PSNR in training: 40.32, Pmask: 0.504569
Epoch: [18/60], PSNR in validation: 40.49, loss in validation: 0.00611
Epoch: [19/60], PSNR in training: 40.32, Pmask: 0.504569
Epoch: [19/60], PSNR in validation: 40.49, loss in validation: 0.00611
Epoch: [20/60], PSNR in training: 40.33, Pmask: 0.504569
Epoch: [20/60], PSNR in validation: 40.49, loss in validation: 0.00611
Epoch: [21/60], PSNR in training: 40.33, Pmask: 0.504569
Epoch: [21/60], PSNR in validation: 40.49, loss in validation: 0.00610
Epoch: [22/60], PSNR in training: 40.33, Pmask: 0.504569
Epoch: [22/60], PSNR in validation: 40.49, loss in validation: 0.00610
Epoch: [23/60], PSNR in training: 40.33, Pmask: 0.504569
Epoch: [23/60], PSNR in validation: 40.50, loss in validation: 0.00610
Epoch: [24/60], PSNR in training: 40.33, Pmask: 0.504569
Epoch: [24/60], PSNR in validation: 40.50, loss in validation: 0.00610
Epoch: [25/60], PSNR in training: 40.33, Pmask: 0.504569
