Logs start:
Epoch: [1/60], PSNR in training: 40.70, Pmask: 0.506510
Epoch: [1/60], PSNR in validation: 41.16, loss in validation: 0.00547
Epoch: [2/60], PSNR in training: 41.64, Pmask: 0.506510
Epoch: [2/60], PSNR in validation: 41.17, loss in validation: 0.00544
Epoch: [3/60], PSNR in training: 41.66, Pmask: 0.506510
Epoch: [3/60], PSNR in validation: 41.17, loss in validation: 0.00545
Epoch: [4/60], PSNR in training: 41.68, Pmask: 0.506510
Epoch: [4/60], PSNR in validation: 41.21, loss in validation: 0.00541
Epoch: [5/60], PSNR in training: 41.69, Pmask: 0.506510
Epoch: [5/60], PSNR in validation: 41.19, loss in validation: 0.00542
Epoch: [6/60], PSNR in training: 41.70, Pmask: 0.506510
Epoch: [6/60], PSNR in validation: 41.24, loss in validation: 0.00541
Epoch: [7/60], PSNR in training: 41.71, Pmask: 0.506510
Epoch: [7/60], PSNR in validation: 41.22, loss in validation: 0.00541
Epoch: [8/60], PSNR in training: 41.72, Pmask: 0.506510
Epoch: [8/60], PSNR in validation: 41.24, loss in validation: 0.00539
Epoch: [9/60], PSNR in training: 41.73, Pmask: 0.506510
Epoch: [9/60], PSNR in validation: 41.23, loss in validation: 0.00540
Epoch: [10/60], PSNR in training: 41.73, Pmask: 0.506510
Epoch: [10/60], PSNR in validation: 41.23, loss in validation: 0.00540
Epoch: [11/60], PSNR in training: 41.74, Pmask: 0.506510
Epoch: [11/60], PSNR in validation: 41.24, loss in validation: 0.00539
Epoch: [12/60], PSNR in training: 41.74, Pmask: 0.506510
Epoch: [12/60], PSNR in validation: 41.24, loss in validation: 0.00540
Epoch: [13/60], PSNR in training: 41.75, Pmask: 0.506510
Epoch: [13/60], PSNR in validation: 41.24, loss in validation: 0.00539
Epoch: [14/60], PSNR in training: 41.75, Pmask: 0.506510
Epoch: [14/60], PSNR in validation: 41.24, loss in validation: 0.00538
Epoch: [15/60], PSNR in training: 41.75, Pmask: 0.506510
Epoch: [15/60], PSNR in validation: 41.23, loss in validation: 0.00539
Epoch: [16/60], PSNR in training: 41.76, Pmask: 0.506510
Epoch: [16/60], PSNR in validation: 41.24, loss in validation: 0.00539
Epoch: [17/60], PSNR in training: 41.76, Pmask: 0.506510
Epoch: [17/60], PSNR in validation: 41.24, loss in validation: 0.00540
Epoch: [18/60], PSNR in training: 41.76, Pmask: 0.506510
Epoch: [18/60], PSNR in validation: 41.26, loss in validation: 0.00540
Epoch: [19/60], PSNR in training: 41.77, Pmask: 0.506510
Epoch: [19/60], PSNR in validation: 41.24, loss in validation: 0.00540
Epoch: [20/60], PSNR in training: 41.77, Pmask: 0.506510
Epoch: [20/60], PSNR in validation: 41.25, loss in validation: 0.00539
Epoch: [21/60], PSNR in training: 41.77, Pmask: 0.506510
Epoch: [21/60], PSNR in validation: 41.25, loss in validation: 0.00539
Epoch: [22/60], PSNR in training: 41.78, Pmask: 0.506510
Epoch: [22/60], PSNR in validation: 41.24, loss in validation: 0.00538
Epoch: [23/60], PSNR in training: 41.78, Pmask: 0.506510
Epoch: [23/60], PSNR in validation: 41.26, loss in validation: 0.00538
Epoch: [24/60], PSNR in training: 41.78, Pmask: 0.506510
Epoch: [24/60], PSNR in validation: 41.25, loss in validation: 0.00539
Epoch: [25/60], PSNR in training: 41.79, Pmask: 0.506510
Epoch: [25/60], PSNR in validation: 41.26, loss in validation: 0.00538
Epoch: [26/60], PSNR in training: 41.79, Pmask: 0.506510
Epoch: [26/60], PSNR in validation: 41.28, loss in validation: 0.00536
Epoch: [27/60], PSNR in training: 41.79, Pmask: 0.506510
Epoch: [27/60], PSNR in validation: 41.26, loss in validation: 0.00538
Epoch: [28/60], PSNR in training: 41.79, Pmask: 0.506510
Epoch: [28/60], PSNR in validation: 41.26, loss in validation: 0.00538
Epoch: [29/60], PSNR in training: 41.80, Pmask: 0.506510
Epoch: [29/60], PSNR in validation: 41.26, loss in validation: 0.00537
Epoch: [30/60], PSNR in training: 41.80, Pmask: 0.506510
Epoch: [30/60], PSNR in validation: 41.26, loss in validation: 0.00538
Epoch: [31/60], PSNR in training: 41.80, Pmask: 0.506510
Epoch: [31/60], PSNR in validation: 41.25, loss in validation: 0.00538
Epoch: [32/60], PSNR in training: 41.81, Pmask: 0.506510
Epoch: [32/60], PSNR in validation: 41.27, loss in validation: 0.00537
Epoch: [33/60], PSNR in training: 41.81, Pmask: 0.506510
Epoch: [33/60], PSNR in validation: 41.26, loss in validation: 0.00539
Epoch: [34/60], PSNR in training: 41.81, Pmask: 0.506510
Epoch: [34/60], PSNR in validation: 41.24, loss in validation: 0.00539
Epoch: [35/60], PSNR in training: 41.81, Pmask: 0.506510
Epoch: [35/60], PSNR in validation: 41.25, loss in validation: 0.00539
Epoch: [36/60], PSNR in training: 41.82, Pmask: 0.506510
Epoch: [36/60], PSNR in validation: 41.26, loss in validation: 0.00538
Epoch: [37/60], PSNR in training: 41.82, Pmask: 0.506510
Epoch: [37/60], PSNR in validation: 41.25, loss in validation: 0.00539
Epoch: [38/60], PSNR in training: 41.82, Pmask: 0.506510
Epoch: [38/60], PSNR in validation: 41.27, loss in validation: 0.00537
Epoch: [39/60], PSNR in training: 41.82, Pmask: 0.506510
Epoch: [39/60], PSNR in validation: 41.26, loss in validation: 0.00537
Epoch: [40/60], PSNR in training: 41.82, Pmask: 0.506510
Epoch: [40/60], PSNR in validation: 41.26, loss in validation: 0.00537
Epoch: [41/60], PSNR in training: 41.83, Pmask: 0.506510
Epoch: [41/60], PSNR in validation: 41.26, loss in validation: 0.00537
Epoch: [42/60], PSNR in training: 41.83, Pmask: 0.506510
Epoch: [42/60], PSNR in validation: 41.27, loss in validation: 0.00537
Epoch: [43/60], PSNR in training: 41.83, Pmask: 0.506510
Epoch: [43/60], PSNR in validation: 41.23, loss in validation: 0.00540
Epoch: [44/60], PSNR in training: 41.83, Pmask: 0.506510
Epoch: [44/60], PSNR in validation: 41.26, loss in validation: 0.00537
Epoch: [45/60], PSNR in training: 41.84, Pmask: 0.506510
Epoch: [45/60], PSNR in validation: 41.26, loss in validation: 0.00537
Epoch: [46/60], PSNR in training: 41.84, Pmask: 0.506510
Epoch: [46/60], PSNR in validation: 41.26, loss in validation: 0.00536
Epoch: [47/60], PSNR in training: 41.84, Pmask: 0.506510
Epoch: [47/60], PSNR in validation: 41.26, loss in validation: 0.00537
Epoch: [48/60], PSNR in training: 41.84, Pmask: 0.506510
Epoch: [48/60], PSNR in validation: 41.26, loss in validation: 0.00538
Epoch: [49/60], PSNR in training: 41.84, Pmask: 0.506510
Epoch: [49/60], PSNR in validation: 41.26, loss in validation: 0.00537
Epoch: [50/60], PSNR in training: 41.85, Pmask: 0.506510
